Line,Field,Expected,Found,Comments
2440,branch_division_id,varchar,810.0,Max length is 4
2440,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2441,branch_division_id,varchar,687.0,Max length is 4
2441,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2442,branch_division_id,varchar,723.0,Max length is 4
2442,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2443,branch_division_id,varchar,835.0,Max length is 4
2443,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2444,branch_division_id,varchar,1803.0,Max length is 4
2444,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2445,branch_division_id,varchar,811.0,Max length is 4
2445,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2446,branch_division_id,varchar,1851.0,Max length is 4
2446,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2447,branch_division_id,varchar,837.0,Max length is 4
2447,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2448,branch_division_id,varchar,1851.0,Max length is 4
2448,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2449,branch_division_id,varchar,811.0,Max length is 4
2449,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2450,branch_division_id,varchar,811.0,Max length is 4
2450,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2451,branch_division_id,varchar,819.0,Max length is 4
2451,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2452,branch_division_id,varchar,815.0,Max length is 4
2452,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2453,branch_division_id,varchar,815.0,Max length is 4
2453,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2454,branch_division_id,varchar,1806.0,Max length is 4
2454,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2455,branch_division_id,varchar,844.0,Max length is 4
2455,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2456,branch_division_id,varchar,819.0,Max length is 4
2456,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2457,branch_division_id,varchar,723.0,Max length is 4
2457,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2458,branch_division_id,varchar,841.0,Max length is 4
2458,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2459,branch_division_id,varchar,7709.0,Max length is 4
2459,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2460,branch_division_id,varchar,1853.0,Max length is 4
2460,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2461,branch_division_id,varchar,1806.0,Max length is 4
2461,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2462,branch_division_id,varchar,1853.0,Max length is 4
2462,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2463,branch_division_id,varchar,1853.0,Max length is 4
2463,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2464,branch_division_id,varchar,1853.0,Max length is 4
2464,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2465,branch_division_id,varchar,1852.0,Max length is 4
2465,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2466,branch_division_id,varchar,815.0,Max length is 4
2466,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2467,branch_division_id,varchar,1853.0,Max length is 4
2467,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2468,branch_division_id,varchar,723.0,Max length is 4
2468,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2469,branch_division_id,varchar,723.0,Max length is 4
2469,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2470,branch_division_id,varchar,1853.0,Max length is 4
2470,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2471,branch_division_id,varchar,1853.0,Max length is 4
2471,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2472,branch_division_id,varchar,723.0,Max length is 4
2472,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2473,branch_division_id,varchar,819.0,Max length is 4
2473,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2474,branch_division_id,varchar,1853.0,Max length is 4
2474,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2475,branch_division_id,varchar,827.0,Max length is 4
2475,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2476,branch_division_id,varchar,810.0,Max length is 4
2476,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2477,branch_division_id,varchar,1793.0,Max length is 4
2477,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2478,branch_division_id,varchar,810.0,Max length is 4
2478,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2479,branch_division_id,varchar,811.0,Max length is 4
2479,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2480,branch_division_id,varchar,814.0,Max length is 4
2480,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2481,branch_division_id,varchar,811.0,Max length is 4
2481,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2482,branch_division_id,varchar,710.0,Max length is 4
2482,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2483,branch_division_id,varchar,837.0,Max length is 4
2483,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2484,branch_division_id,varchar,1835.0,Max length is 4
2484,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2485,branch_division_id,varchar,1835.0,Max length is 4
2485,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2486,branch_division_id,varchar,1816.0,Max length is 4
2486,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
